,id,name,latitude,longitude,free_bikes,empty_slots
53,170522d7fa95743cf1617bf75ca3398e,"444 - Valderrebollo, 18",40.3743481,-3.6276352,11,12
54,1744486cb4421b1f67932f7a146a2e1a,26 - Plaza de las Salesas,40.4239,-3.6945,7,18
55,17809b590a7b738cde081f2e340d23c6,624  - Avenida Blas de Lezo 33,40.407067,-3.553002,11,11
56,179ca8264c02a9c11c712e4a232c1a5d,"533 - San Luis, 23",40.47148748,-3.6551145499999995,4,19
57,17a36e98e660e36f770cbba131e7910e,307 - Metro Valdezarza,40.46588016,-3.71693008,13,10
58,17a62f440d0b87cc2eeb9b6055f218d9,374 - Dinero - La Peseta,40.3625707,-3.7501466,6,20
59,17c9803bdd1a1663d9db856415333a35,85 - Parque del Retiro - Puerta de O´Donnell,40.4213143,-3.6798909999999996,17,10
60,17e964dc5de1d0db20a72df81bdab7cf,197 - Parque de Berlín,40.4516059,-3.677916,6,16
61,182d26b1ac3ab79d7231c5b4b1708de0,355 - Intercambiador de Plaza Elíptica,40.3854641,-3.7182338,5,18
62,18748a352393519a2b8581ce0f993c79,591 - Metro Mirasierra,40.49108225,-3.7162292099999994,7,12
63,1975a6b914b51d8950d6e237d229c18d,562 - Tomillar - Tintín y Milú,40.46267435,-3.5840557299999998,7,20
64,1984d407925b0cdf233b1ef540dd599f,585 - Metro Fuencarral,40.4954662,-3.69374813,12,12
65,1afd66316b5d91ee9638b9f6ae7ed833,365 - Palacio Vistalegre Arena,40.38537202,-3.7372590799999994,7,16
66,1b7a17184516ede7820764135bbb1871,91 - Hermosilla - General Pardiñas,40.426049,-3.6786285,12,9
67,1c97392d9622cf39de09655b8cfc3014,565 - Metro Barajas,40.47563573,-3.5838869,9,14
68,1d214181a7b761bfb4864753e9c1692d,418 - Puerto de Arlabán - San Diego,40.3864,-3.6674999999999995,19,8
69,1de4147d7d9f258504b72020a57d5a12,111B - Metro Moncloa B,40.433913,-3.7177433999999994,12,10
70,1e0e8689fdfe02b321ccd02688943a8c,124 - Metro Bilbao,40.430969,-3.6993695,19,8
71,1e24df17b46a47b98e962c26f09ff144,204 - Doctor Santero - Bravo Murillo,40.4476488,-3.7040397,15,8
72,1ea0012878a8c7dbe462606ed933ab1e,604 - Metro Las Tablas,40.50910428,-3.6695521499999995,5,18
73,1f1706314f37508b2538955f0bb3fc8a,592 - Estación de tren de Pitis,40.4956969,-3.7249527,10,17
74,1f2c6a663009a4da061a71417dd15b6e,226 - Sierra Toledana - Camino de Valderribas,40.39901531507069,-3.6607768678037744,9,14
75,1f4d02b8a6c90065c9f07cc29559c794,258 - Metro Ciudad Universitaria A,40.444311,-3.7269389999999993,12,12
76,1f4f1b7cc33974b689a4e7bc6eca0948,320 - Metro Lago,40.4167792,-3.7345247000000006,11,8
77,1fa9302aab08ea982b2ecd784d3d115e,"387 - Isabelita Usera, 44",40.38272256,-3.7077397199999997,18,5
78,209e2479235f634fc578a9a31b484ac3,"451 -  La Granja de San Ildefonso, 14",40.36813427,-3.62283116,17,9
79,20a79ab84160ac509f09081ab8181e2c,439 - Cabeza Mesada - Parque de Valdeperdices,40.37647902,-3.6294129999999996,14,12
80,217bde84b1fc8453887c815a0e45cbfe,127 - Mercado Municipal de Vallehermoso,40.4338516,-3.708439,22,4
81,21f8c6aa214fdd9a15f0c4a78574bd10,257 - Ciudad Universitaria - INEF,40.438873,-3.7305269999999995,6,17
82,22115aae27d7bff90134cd4dab0b03ff,602 - Monasterio Sobrado - Monasterio Silos,40.5093225,-3.6928369999999995,12,13
83,221a20d040d7c7ec80d5ed67eaf08936,185 - Parque Quinta de la Fuente del Berro,40.4250833,-3.6615277000000006,8,15
84,222c7fdef5cff851a628be5399a15fb9,"276 - Paseo de las Yeserías, 15",40.39900539,-3.7099166,17,5
85,228d96336bcfbc3727f730a071640fa5,156 - Sor Ángela de la Cruz-Paseo Castellana,40.4592351,-3.691533,6,18
86,232b8e2d9b87f0ebc9198b449201ae19,72 - Metro Sáinz de Baranda,40.4159,-3.6696000000000004,16,7
87,2397722d709010a50191011a57ab999a,558 - Biblioteca Pública Mpal. Gloria Fuertes,40.461137,-3.5937120000000005,6,17
88,24be73dcd5720c09372c855110bb2eaa,286 - Plaza Duque de Pastrana ,40.4679,-3.6778999999999997,11,12
89,2610621f87c11fd014446887e83b5e52,214 - Condesa de Venadito - Albacete,40.4434316,-3.6569031,8,16
90,2641214ec2e2016fab81afced88224bb,221 - Metro Pavones,40.400492026660594,-3.6347444787322485,15,7
91,267772096c65264453838b6648f22338,268 - Metro Arganzuela-Planetario,40.39338327980599,-3.689031463575172,18,5
92,2717cf56a0247a361f3bd0e7f1f57bea,379 - Antonia Rodríguez Sacristán - Valeriana,40.37313777,-3.74765739,11,13
93,27289fb0242067a8071b9053df0010a1,49 - Casa Encendida,40.4060533,-3.6992774,12,15
94,27b3887834615202a41f2587c1d072c2,188 - Puente de Ventas,40.4312562,-3.6590286000000005,16,11
95,27bea4e595b9f255a6f09b71395498f7,360 - Ntra. Sra. Fátima - Ntra. Sra. de Luz,40.3840155,-3.7470882000000003,13,9
96,27e697d9db2db9508c61968362cc1714,231 - Derechos Humanos - Verdaguer y García,40.4398283,-3.6557193,13,11
97,28d6a77764f7344a2cfd24aac7e7eb84,522 - Metro Estadio Metropolitano,40.43333298,-3.60097542,6,18
98,291e851bd2ad42de4f7a1bab0764bc72,"534 - Mesena, 102",40.46772408,-3.6634063399999994,13,12
99,2954fe1eb09c687cdb7c29ce57848460,254 - Plaza del Perú,40.461,-3.6765599999999994,18,5
100,2a8c8298fcd7ad982dc3740ba8ed9627,406 - La Nave de Madrid,40.3486,-3.6960817,9,14
101,2c639b1cdbbc7fb4a56b773c19d0322e,607 - Metro Ligero - Palas de Rey,40.5051915,-3.6641571,8,19
102,2c7a394e3cd2fc1ad02904733f75e60b,600 - Centro Deportivo Municipal La Masó,40.4825507,-3.7149566,9,15
103,2cb6b6f412a73a0e4123fd78dff1a97b,15 - Norte,40.4262383,-3.7074453,2,17
104,2d2c091862e73046d9cb38b942c5cff8,248 - Sinesio Delgado - Cuatro Torres ,40.4743209,-3.6879973,6,21
105,2db0fc658a2d0e4fa5e9bb80fe5bc712,610 - Bardegueral,40.4501721,-3.7719096999999997,4,19
106,2db7ba863a110f551ac6a95fc33f4d08,467 - Univ. Rey Juan Carlos - Facultad  CJS,40.4062361,-3.6084888,13,10
107,2df75400a4f283999fc87f39f3bbde88,71 - Plaza del Doctor Laguna,40.4161,-3.6739,5,18
108,2e175e4613adf44134fda53c82f326f5,"559 - Calle Babilonia, 19",40.4675299,-3.5882346999999997,16,7
109,2e296a5773dd1224c28ed9d990f1ac2b,162 - Metro Pirámides,40.4034968,-3.7105765,2,21
110,2e6c66618b818902148b3d807f361962,436 - Campus Sur UPM,40.3901675,-3.62713659,10,13
111,2f3a5ff4d244a1f2a08cadf118a3ab0c,178 - Junta Municipal Distrito de Retiro,40.4029202,-3.6788343,10,14
112,2f4cd4d4835afe673017731a29cb7cd1,80B - Estación de Atocha B,40.4075211,-3.6904748,13,14
113,2f70598cb7dcee0c8da33e8837891f07,575 - Metro Barrio del Pilar,40.47817,-3.703526,11,12
114,2fce414c83cb16b63a1875e1f9fac517,340 - Illescas - Seseña,40.3970983,-3.7656975999999998,13,14
115,2fcfc030a0d125e8f761079849470343,345 - Fuente del Tiro - Avd. de las Águilas,40.38308791,-3.7798000999999997,9,15
116,30413be299ae8fcd531e07b6c0906ac5,"450 - Camino de las Hormigueras, 161",40.3762555,-3.6370762,17,7
117,3094cb94dd4daaa4a0209a2ab9bcb276,"515 - Avenida de Hellin, 13",40.43091667,-3.61579967,16,8
118,30d2e2d12f11fb71285e4e8f7cee881b,262 - María de las Mercedes de Borbón B,40.4928683,-3.620114,9,14
119,312c7655bf81a6f99c52654ab174bd0e,566 - Avenida de Logroño,40.4703472,-3.5815033,2,22
120,3136bd21e72e8e16df569a2dd945e218,321 - Metro Casa de Campo,40.40316,-3.7610509999999997,11,15
121,317ec4481835fb557cba20ad7292443a,472 - Metro Valdebernardo,40.3987974,-3.6211484999999994,20,7
122,326a48d7670e7fb0c1a363e265bb8c1f,612 - Calle Rosalia de Castro 1,40.480258,-3.734639,15,8
123,32bd937191c6c99e95655335a40c3bc1,"378 - Eugenia de Montijo, 83",40.37562288,-3.7509732999999996,11,13
124,32cbbbab1e6465dc44eadf2c05a6aab1,564 - IFEMA B,40.463861,-3.6138669999999995,2,20
125,32cf1784dae9bffb36cc6bf626b6e7a1,140 - Velázquez - López de Hoyos,40.4387566,-3.6830583,18,10
126,331c843791acee27cae7e4bc9846d03d,490 - Hnos.García Noblejas-FcoLargo Caballero,40.42427523,-3.62888094,12,11
